r_kpc,rho_Msun_pc3,ratio_rho_over_rhoc,Phi_TEG,deviation_from_GR_abs,regime,rho_c_Msun_pc3,rho_transition_threshold
1.374248,3.318049,3312.0749,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.380160,3.263231,3257.3556,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.386072,3.209482,3203.7033,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.391984,3.156778,3151.0940,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.397896,3.105095,3099.5040,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.403808,3.054410,3048.9105,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.409719,3.004701,2999.2911,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.415631,2.955946,2950.6240,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.421543,2.908124,2902.8881,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.427455,2.861214,2856.0625,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.433367,2.815196,2810.1274,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.439279,2.770050,2765.0628,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.445190,2.725758,2720.8499,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.451102,2.682299,2677.4697,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.457014,2.639657,2634.9043,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.462926,2.597813,2593.1359,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.468838,2.556751,2552.1471,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.474749,2.516452,2511.9210,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.480661,2.476901,2472.4413,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.486573,2.438082,2433.6920,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.492485,2.399978,2395.6572,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.498397,2.362576,2358.3218,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.504309,2.325859,2321.6709,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.510220,2.289813,2285.6900,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.516132,2.254424,2250.3648,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.522044,2.219678,2215.6816,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.527956,2.185562,2181.6268,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.533868,2.152062,2148.1872,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.539780,2.119166,2115.3500,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.545691,2.086860,2083.1027,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.551603,2.055133,2051.4329,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.557515,2.023973,2020.3287,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.563427,1.993368,1989.7784,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.569339,1.963306,1959.7706,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.575251,1.933776,1930.2942,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.581162,1.904768,1901.3383,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.587074,1.876271,1872.8923,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.592986,1.848274,1844.9457,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.598898,1.820767,1817.4884,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.604810,1.793740,1790.5107,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.610721,1.767185,1764.0026,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.616633,1.741090,1737.9549,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.622545,1.715447,1712.3583,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.628457,1.690247,1687.2037,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.634369,1.665481,1662.4823,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.640281,1.641141,1638.1856,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.646192,1.617217,1614.3051,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.652104,1.593702,1590.8325,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.658016,1.570588,1567.7598,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.663928,1.547866,1545.0792,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.669840,1.525530,1522.7830,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.675752,1.503571,1500.8636,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.681663,1.481982,1479.3137,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.687575,1.460756,1458.1261,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.693487,1.439886,1437.2938,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.699399,1.419366,1416.8099,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.705311,1.399187,1396.6676,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.711222,1.379344,1376.8605,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.717134,1.359831,1357.3821,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.723046,1.340640,1338.2260,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.728958,1.321766,1319.3862,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.734870,1.303203,1300.8566,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.740782,1.284945,1282.6314,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.746693,1.266986,1264.7047,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.752605,1.249320,1247.0710,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.758517,1.231943,1229.7246,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.764429,1.214848,1212.6603,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.770341,1.198030,1195.8728,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.776253,1.181484,1179.3568,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
1.782164,1.165205,1163.1073,1.0000000000,0.000e+00,GR_exact,0.001002,15.9
